parent_directory,is_file,name,size_in_bytes
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.Pipes.dll,21168
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.IO.UnmanagedMemoryStream.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.dll,21152
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.Expressions.dll,22224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.Parallel.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Linq.Queryable.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Http.dll,198472
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.NameResolution.dll,21208
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.NetworkInformation.dll,22248
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Ping.dll,21168
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Primitives.dll,22216
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Requests.dll,21184
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Security.dll,21696
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.Sockets.dll,30544
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.WebHeaderCollection.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.WebSockets.Client.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Net.WebSockets.dll,21192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.ObjectModel.dll,21696
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Reflection.dll,22200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Reflection.Extensions.dll,21224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Reflection.Primitives.dll,21736
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Resources.Reader.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Resources.ResourceManager.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Resources.Writer.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.CompilerServices.VisualC.dll,21784
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.dll,29360
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Extensions.dll,21720
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Handles.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.InteropServices.dll,24296
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.InteropServices.RuntimeInformation.dll,28624
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Numerics.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Formatters.dll,21264
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Json.dll,21240
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Primitives.dll,27048
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Runtime.Serialization.Xml.dll,24816
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Claims.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Algorithms.dll,47016
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Csp.dll,21240
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Encoding.dll,21256
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.Primitives.dll,21784
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Cryptography.X509Certificates.dll,22832
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.Principal.dll,21208
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Security.SecureString.dll,22392
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Text.Encoding.dll,21696
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Text.Encoding.Extensions.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Text.RegularExpressions.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Threading.dll,22192
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Threading.Overlapped.dll,37752
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Threading.Tasks.dll,22224
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Threading.Tasks.Parallel.dll,21232
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Threading.Thread.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Threading.ThreadPool.dll,21216
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Threading.Timer.dll,21200
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.ValueTuple.dll,78992
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Xml.ReaderWriter.dll,21712
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Xml.XDocument.dll,21696
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Xml.XmlDocument.dll,21712
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Xml.XmlSerializer.dll,21712
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Xml.XPath.dll,21176
D:/Games/PlariumPlay\8.1.0-0.0.0,True,System.Xml.XPath.XDocument.dll,22904
D:/Games/PlariumPlay\8.1.0-0.0.0,True,v8_context_snapshot.bin,164745
D:/Games/PlariumPlay\8.1.0-0.0.0,True,win_10_notification.exe,92504
D:/Games/PlariumPlay\8.1.0-0.0.0,True,win_under_10_notification.exe,130392
D:/Games/PlariumPlay\8.1.0-0.0.0,False,dotnet,82756796
D:/Games/PlariumPlay\8.1.0-0.0.0,False,GPUCache,4788592
D:/Games/PlariumPlay\8.1.0-0.0.0,False,locales,20993481
D:/Games/PlariumPlay\8.1.0-0.0.0,False,PlariumPlayClientService,1933559
D:/Games/PlariumPlay\8.1.0-0.0.0,False,swiftshader,3211408
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-console-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-console-l1-2-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-datetime-l1-1-0.dll,20952
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-debug-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-errorhandling-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-fibers-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-file-l1-1-0.dll,25048
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-file-l1-2-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-file-l2-1-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-handle-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-heap-l1-1-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-interlocked-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-libraryloader-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-localization-l1-2-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-memory-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-namedpipe-l1-1-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-processenvironment-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-processthreads-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-processthreads-l1-1-1.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-profile-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-rtlsupport-l1-1-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-string-l1-1-0.dll,20960
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-synch-l1-1-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-synch-l1-2-0.dll,20944
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,api-ms-win-core-sysinfo-l1-1-0.dll,20944
